rate_unemployment,percent_college,percent_married,median_income,percent_lunch,state,school_type,school_level,average_act
0.4665966407759618,-1.1273239798853274,0.20979341667946044,-0.8633391794622597,0.2270656716833573,TN,Regular School,High,19.2
0.4091842126838876,-1.2697051925691005,-0.3584431741058435,-0.4701831949785159,-0.03599124383231033,PA,Regular School,High,19.4932844932845
-0.559424552872457,1.4917102880203905,0.3661371310102925,-0.026900640866068297,1.0645493850790597,LA,Regular School,High,19.7
5.888705976062118,-1.0747221142766774,-3.0709680016973446,-1.5834022372225052,2.313099439129842,IL,Regular School,High,17.7
0.3068032294272446,-0.3239098890087159,-1.4306601450713263,-0.532626578858844,1.9916737222103589,TX,Regular School,High,21.3980463980464
-0.04211191144594575,0.13988382659685852,0.22450816393404086,0.7184916794249263,-0.7944320962452669,LA,Regular School,High,20.8
-0.7847948668667507,-0.10502154174650155,-1.153148542075135,-0.4223072060270192,-0.2657601462849981,WI,Regular School,High,20.8
0.992876992225109,-1.7419907520773383,-1.6209636383848745,-1.1832899124637577,1.8304587799611645,NJ,Regular School,High,14.047619047619
-0.8514948457170325,-0.47188447067015393,0.35755548016717364,-0.3923540231958264,0.12324633570770387,WI,Regular School,High,20.8
2.025626976669145,-0.4116646469070994,-0.48150778489373913,-0.7561706195785247,-0.0639129502179611,MI,Regular School,High,19.6
-0.3220025991434643,-0.9746500449432703,0.43838645810854104,-0.11258638519464442,-0.1428984706555408,IN,Regular School,High,19.5714285714286
0.8739909619748816,-0.1134910280437117,0.359111946440091,-0.9485748076553944,1.1896675760595916,FL,Regular School,High,18.8827838827839
-0.6063562444804876,-0.13699624505223518,0.4623170198658583,-0.019084987968858155,-0.3160961168830086,GA,Regular School,High,21.4224664224664
-0.9905927568199371,-0.5398137592113719,-0.0014668390032468407,-0.24778490442177697,-0.06643165623210821,TX,Regular School,High,22.5213675213675
0.5416214949644352,0.4334729633525528,-0.907736328295249,-0.4705105521679278,-1.1255803858139128,IN,Regular School,High,22.7582417582418
-0.07788901280521127,0.26369834253535784,-0.20725945123011408,0.19803466790861318,0.1778149121618475,FL,Regular School,High,19.8595848595849
-0.5554611910537302,-1.3741171446313833,0.20611467765727862,-0.26820380911134695,-0.03200551956076942,IN,Regular School,High,18.1501831501831
-1.267770642777489,-0.2975806943507693,0.22120175814524692,0.628468452336642,0.36593969205923316,OH,Regular School,High,21.0
1.2514608764124835,0.8296380943014111,-1.1792736988568049,-1.2197902390831894,2.3738686742012463,IL,Regular School,High,15.0
-0.296473371193211,-0.7367418562224686,-1.0967037719632002,-0.6117651793991813,-0.5750980483243364,IN,Regular School,High,22.5409035409035
0.665520161897385,-0.5176751906091914,-0.4741873589164429,-0.5307442750197253,-0.3761504494518628,WI,Regular School,High,19.7
1.7002876843394155,-0.016546073654001694,-2.489502507790105,-1.472059873173768,2.4786560638108095,GA,Regular School,High,16.6849816849817
-0.8721466907871464,0.3017086271252343,-0.29537250797518766,-0.3851930846774401,-0.7027374082106008,IN,Regular School,High,22.8730158730159
-1.1443695200857709,-0.23072273191332404,0.7661261747847244,0.835767392531755,-0.05406535105719687,IL,Regular School,High,20.5
-0.4512501974927994,-0.15991872251482797,0.9965583540016444,-0.5275525424229589,0.05880132496456709,KY,Regular School,High,17.1
1.2035000828153393,-1.6242821268727305,0.196793329064778,-0.190006360490569,0.09968776198253966,TX,Regular School,High,20.030525030525
-0.16480195933779254,0.19257432386539017,0.16682166143819535,0.2913723865396935,-1.1730755871255252,WI,Regular School,High,21.9
0.8008738062616705,-0.646460803762312,-0.8920455467220062,-0.9288924566420013,0.292397436255881,IN,Regular School,High,19.4249084249084
-0.9054152596875156,2.3051958116736504,1.3288856743157544,4.222277516998307,-1.4935155326490057,MA,Regular School,High,26.2087912087912
-0.30149251498895724,1.3597629593544005,0.3796259258355214,0.32091637288412134,-0.332889262319838,IL,Regular School,High,20.4
0.4410975528333051,0.7909884392373859,-1.797346270294626,-0.8882183258575673,-0.06462040457588286,NC,Regular School,High,22.2283272283272
-0.46568258744598734,0.3769667678572379,0.44306923492648065,0.31866579220691427,-1.2021180523467423,MI,Regular School,High,20.0
-0.4326726025970917,1.0912112093901944,1.563840017173695,2.7231861877349903,-1.6491436479757853,NJ,Regular School,High,24.5726495726496
-0.7779834953272489,1.5433645866553745,0.9689992777714052,2.3718910038472987,-1.3099183917831299,PA,Regular School,High,23.3516483516484
0.49664576807148786,-0.17320542571286326,0.2512457244523291,-0.023627068971948866,-0.1083643224975439,OH,Regular School,High,20.0
0.8601751781115191,0.07981887620143632,-1.3635688732913458,-0.7572754500927901,-0.5017438735716014,NC,Regular School,High,21.9352869352869
-0.25861468656243763,-0.5152053392210324,-0.34893731973698283,-0.2605927544575192,-0.9045503339611188,PA,Regular School,High,22.5946275946276
-0.650794182437616,0.881221743645707,-0.466447190520442,-0.34120446235021024,-1.2745269063431786,FL,Regular School,High,23.4981684981685
-0.9629674720517555,1.7309045955901878,1.0990655726608842,1.1548588129110466,1.707147873795438,MA,Regular School,High,15.1709401709402
-0.17338894960045498,-0.9570128004354391,0.9939685777973937,0.027195134684255315,-0.5793534806838878,PA,Regular School,High,20.3724053724054
0.22928262151202872,0.4393256442999836,-1.8601899296161266,-0.6523983905349388,1.4779435545458715,MI,Regular School,High,15.6
0.7000075071478069,-0.06644000258139028,0.7697422006631209,-0.1900472801392455,-0.37620473769631146,NC,Regular School,High,19.6398046398046
0.49769040299694084,-0.8778108210145487,0.40795695713134883,-0.8542550174560782,0.22869063255893268,OH,Regular School,High,22.0
